FRASEO,P11_COD1,P11_COD2,P11_COD3
para enviar o recibir dinero                                                                                                                                                                                                                                   ,PARA ENVIAR O RECIBIR DINERO,,
para apoyar amis familiares de afuera                                                                                                                                                                                                                          ,APOYAR A MIS FAMILIARES,,
para mandar dinero                                                                                                                                                                                                                                             ,PARA ENVIAR O RECIBIR DINERO,,
para enviar dinero o recibir                                                                                                                                                                                                                                   ,PARA ENVIAR O RECIBIR DINERO,,
enviar dinero a la familia                                                                                                                                                                                                                                     ,APOYAR A MIS FAMILIARES,PARA ENVIAR O RECIBIR DINERO,
para hacer depósito a familiares lejanos                                                                                                                                                                                                                      ,APOYAR A MIS FAMILIARES,PARA ENVIAR O RECIBIR DINERO,
enviar dinero para ayudar a la familia                                                                                                                                                                                                                         ,APOYAR A MIS FAMILIARES,PARA ENVIAR O RECIBIR DINERO,
para recibir dinero                                                                                                                                                                                                                                            ,PARA ENVIAR O RECIBIR DINERO,,
recibir y enviar dinero                                                                                                                                                                                                                                        ,PARA ENVIAR O RECIBIR DINERO,,
para enviar y recibir dinero de manera rapida                                                                                                                                                                                                                  ,PARA ENVIAR O RECIBIR DINERO,,
Pues para que mi hijo me mande con lo que nos ayuda a su mamá y a mi                                                                                                                                                                                          ,PARA ENVIAR O RECIBIR DINERO,,
Para enviar dinero                                                                                                                                                                                                                                             ,PARA ENVIAR O RECIBIR DINERO,,
ParA enviar dinero al familiar que se encunetra lejos                                                                                                                                                                                                          ,APOYAR A MIS FAMILIARES,PARA ENVIAR O RECIBIR DINERO,
enviar y recibir dinero rapidamente                                                                                                                                                                                                                            ,PARA ENVIAR O RECIBIR DINERO,,
Tengo un hermano en el Extranjero y me envía dinero para la familia                                                                                                                                                                                           ,APOYAR A MIS FAMILIARES,PARA ENVIAR O RECIBIR DINERO,
por si en un futuro lo necesitara                                                                                                                                                                                                                              ,PARA TENER UN RESPALDO EN EMERGENCIAS,AHORRAR E INVERTIR PARA UN FUTURO,
Porque tengo familiares en otro estado y a veces tenemos necesidades y para cualquier emergencia yo los puedo apoyar o ellos a mí                                                                                                                             ,APOYAR A MIS FAMILIARES,PARA TENER UN RESPALDO EN EMERGENCIAS,
para enviar dinero a un familiar que está en otro estado                                                                                                                                                                                                      ,APOYAR A MIS FAMILIARES,PARA ENVIAR O RECIBIR DINERO,
Para enviar dinero a familiares lejanos                                                                                                                                                                                                                        ,APOYAR A MIS FAMILIARES,PARA ENVIAR O RECIBIR DINERO,
para enviar dinero a familiares                                                                                                                                                                                                                                ,APOYAR A MIS FAMILIARES,PARA ENVIAR O RECIBIR DINERO,
para familiares fuera del país                                                                                                                                                                                                                                ,APOYAR A MIS FAMILIARES,PARA ENVIAR O RECIBIR DINERO,
enviar dinero                                                                                                                                                                                                                                                  ,PARA ENVIAR O RECIBIR DINERO,,
para enviar  dinero a mi familia  en puebla                                                                                                                                                                                                                    ,APOYAR A MIS FAMILIARES,PARA ENVIAR O RECIBIR DINERO,
Para enviar dinero y asi mejorar el servicio ya que suele ser muy tardado y disminuir costos.                                                                                                                                                                  ,PARA ENVIAR O RECIBIR DINERO,,
mandar ayuda a familiares                                                                                                                                                                                                                                      ,APOYAR A MIS FAMILIARES,PARA ENVIAR O RECIBIR DINERO,
para enviar dinero a mi familia                                                                                                                                                                                                                                ,APOYAR A MIS FAMILIARES,PARA ENVIAR O RECIBIR DINERO,
para enviar dinero a la familia                                                                                                                                                                                                                                ,APOYAR A MIS FAMILIARES,PARA ENVIAR O RECIBIR DINERO,
enviar dinero a familiares                                                                                                                                                                                                                                     ,APOYAR A MIS FAMILIARES,PARA ENVIAR O RECIBIR DINERO,
para enviar dinero para arreglar el hogar y vacacionar                                                                                                                                                                                                         ,PARA ENVIAR O RECIBIR DINERO,PARA IRME DE VIAJE O VACACIONES,
para mayor comodidad de realizar mis pagos y enviar dinero                                                                                                                                                                                                     ,PARA ENVIAR O RECIBIR DINERO,PARA HACER VARIAS OPERACIONES COMODAMENTE,
para enviar a la familia fuera                                                                                                                                                                                                                                 ,APOYAR A MIS FAMILIARES,PARA ENVIAR O RECIBIR DINERO,
mandar dinero a familiares de fuera                                                                                                                                                                                                                            ,APOYAR A MIS FAMILIARES,PARA ENVIAR O RECIBIR DINERO,
para mejor servicio y manera mas rapida de llegar el dinero                                                                                                                                                                                                    ,PARA ENVIAR O RECIBIR DINERO,,
para enviar a las familias                                                                                                                                                                                                                                     ,APOYAR A MIS FAMILIARES,PARA ENVIAR O RECIBIR DINERO,
Para enviar dinero a un familiar                                                                                                                                                                                                                               ,APOYAR A MIS FAMILIARES,PARA ENVIAR O RECIBIR DINERO,
para enviarle dinero a mi hermano que estudia fuera de la ciudad                                                                                                                                                                                               ,APOYAR A MIS FAMILIARES,PARA ENVIAR O RECIBIR DINERO,
para depositar a familia lejos                                                                                                                                                                                                                                 ,APOYAR A MIS FAMILIARES,PARA ENVIAR O RECIBIR DINERO,
Para que mi familia fuera de México me envíe dinero                                                                                                                                                                                                          ,PARA ENVIAR O RECIBIR DINERO,,
mas facilidad en un solo lugar realizo todo                                                                                                                                                                                                                    ,PARA HACER VARIAS OPERACIONES COMODAMENTE,,
para mas facilidad de realizar varias cosas en un mismo lugar                                                                                                                                                                                                  ,PARA HACER VARIAS OPERACIONES COMODAMENTE,,
para apoyar amis papas que viven afuera                                                                                                                                                                                                                        ,APOYAR A MIS FAMILIARES,,
Porque necesita enviar dinero a familiares lejanos                                                                                                                                                                                                             ,APOYAR A MIS FAMILIARES,PARA ENVIAR O RECIBIR DINERO,
para poder enviarle dinero a mis hermanos que viven lejos                                                                                                                                                                                                      ,PARA ENVIAR O RECIBIR DINERO,,
Porque ayuda a mandar dinero a diferente lugares                                                                                                                                                                                                               ,PARA ENVIAR O RECIBIR DINERO,,
para enviarle dinero a mi madre                                                                                                                                                                                                                                ,PARA ENVIAR O RECIBIR DINERO,,
enviar y recibir dinero                                                                                                                                                                                                                                        ,PARA ENVIAR O RECIBIR DINERO,,
para enviar dinero y recibir                                                                                                                                                                                                                                   ,PARA ENVIAR O RECIBIR DINERO,,
deudas                                                                                                                                                                                                                                                         ,PAGAR DEUDAS,,
para enviar a sus hija dinero ya que no están con el                                                                                                                                                                                                          ,PARA ENVIAR O RECIBIR DINERO,,
para facilitar el envío de dinero a sus padres                                                                                                                                                                                                                ,PARA ENVIAR O RECIBIR DINERO,,
para poder enviar dinero                                                                                                                                                                                                                                       ,PARA ENVIAR O RECIBIR DINERO,,
enviar dinero a mis padres que viven lejos                                                                                                                                                                                                                     ,PARA ENVIAR O RECIBIR DINERO,,
enviarle dinero a mi famili y lo pueda ahorrar                                                                                                                                                                                                                 ,APOYAR A MIS FAMILIARES,PARA ENVIAR O RECIBIR DINERO,
para una.empresa                                                                                                                                                                                                                                               ,PARA PONER UN NEGOCIO,,
enviarle dinero a mis hijos                                                                                                                                                                                                                                    ,PARA ENVIAR O RECIBIR DINERO,,
Para enviar dinero a mi familia                                                                                                                                                                                                                                ,APOYAR A MIS FAMILIARES,PARA ENVIAR O RECIBIR DINERO,
depósitos                                                                                                                                                                                                                                                     ,PARA ENVIAR O RECIBIR DINERO,,
Porque piensa que es muy necesario cuando tienes familia en otros estados                                                                                                                                                                                      ,APOYAR A MIS FAMILIARES,,
